"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"July 15, 2015",Ohio,Cleveland,"700 block of Thornhill",0,7,N/A
"July 15, 2015",Michigan,Detroit,"9200 block of Memorial",0,4,N/A
"July 15, 2015","South Carolina","Holly Hill","7050 Old State Road",4,1,N/A
"July 14, 2015",Missouri,"Saint Louis","1100 block of Riverview",0,4,N/A
"July 13, 2015",California,Norwalk,"11959 162nd Street",0,4,N/A
"July 13, 2015",California,Stockton,"400 block of McCloud Avenue",1,4,N/A
"July 12, 2015",Illinois,"River Forest","116 Lathrop Avenue",2,3,N/A
"July 12, 2015","New Jersey","Jersey City","Sip and Van Wagenen avenues",0,4,N/A
"July 7, 2015",Ohio,Cleveland,"East 162nd Street and Miles Avenue",1,3,N/A
"July 7, 2015",Maryland,Baltimore,"900 block of West Fayette Street",3,1,N/A
"July 5, 2015",Louisiana,Shreveport,"3500 block of Hearne Avenue",0,8,N/A
"July 5, 2015",Indiana,"Fort Wayne","1400 block of McCulloch Street",0,9,N/A
"July 5, 2015","New Jersey","East Orange","200 block of S. Clinton St",1,3,N/A
"July 4, 2015","District of Columbia",Washington,"2600 Douglas Place SE",1,3,N/A
"July 4, 2015",Kentucky,Louisville,"2500 block of West Broadway",0,4,N/A
"July 4, 2015",Massachusetts,Pittsfield,"Dewey Avenue",1,4,N/A
"July 4, 2015","New York",Syracuse,"Bellevue and Rich Street",0,4,N/A
"July 4, 2015",Texas,"San Antonio","1100 block of West Avenue",0,4,N/A
"July 2, 2015",Indiana,Indianapolis,"Lynn and Michigan",1,3,N/A
"June 29, 2015",Florida,"Opa Locka","13450 N.W. 30th Ave",0,4,N/A
"June 28, 2015",Michigan,Detroit,"Gratiot and Loretto",0,5,N/A
"June 28, 2015",Illinois,Venice,N/A,0,6,N/A
"June 28, 2015",Delaware,Harrington,"100 block of East St",0,6,N/A
"June 27, 2015",Massachusetts,Taunton,"Weir Street",1,3,N/A
